 tau,  bw,      1.0,    0.992,    0.874,    0.498
   0, 900, -24.1754, -23.5344, -19.1671, -15.0354
 500, 900, -21.5422, -21.1215, -18.0393, -14.6603
1000, 900, -20.4411, -19.3634, -18.0858, -14.6379
2000, 900, -19.2951, -18.1471, -17.7797, -14.5762
3000, 900, -16.9824, -17.8014, -15.1289, -13.9846
   0, 100, -15.8938,  -13.897, -10.4397,  -6.5681
 500, 100, -12.7328, -12.9503,  -9.8898,  -7.3088
1000, 100, -11.1918,   -12.11,  -8.3116,  -5.3917
2000, 100, -11.6294, -11.9369,  -8.6812,  -6.0284
3000, 100, -10.0558, -10.0637,  -7.5088,  -5.3641
